stt,material,material_description,dvt,ton_dau_ky,nhap_trong_ky,xuat_tra_lai,chuyen_mdsd,xuat_sx,xuat_khac,ton_cuoi_ky,ghi_chu
977,1000347097,貼地桿;車架;口40x60x150x2.5Tx590L;前;;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
978,1000347098,固定片;磁控;;SPHC;153.5x162.5x23.5x6.0T;;EP59,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
979,1000347099,連接片;車架連接;;SPHC;365x135x18.5x5.0T;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
980,1000347100,固定片;電池;;SPHC;39.6x101.2x28x1.6T;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
981,1000347101,固定片;電源插座;左;SPHC;65x30x38.7x1.6T;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
982,1000347103,五通管;曲柄;前;20#;塗防鏽油;EP591;Φ76x101L;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
983,1000347201,端塞;拉帽;;PP;黑色;;GM40;注塑,EA,0.0,950.0,0.0,0.0,551.0,0.0,399.0,
984,1000347202,水壺架;;;ABS防火;黑色/Black C;;GM01;,EA,0.0,920.0,0.0,0.0,80.0,0.0,840.0,
985,1000347213,水壺架 ;;;ABS/PA757;灰色;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
986,1000347218,固定管;儀表桿;Φ76.2x3.0Tx313.5L;中;;;EP591,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
987,1000347220,固定片;連接桿;;SPHC;71x40x4.0T;;EP591;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
988,1000347224,連接片;儀表桿;下;SPHC;178.4x139.4x7x2.0T;;EP591,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
989,1000347259,擺臂管;;ψ30x70x2.0Tx843L;;;;EP591,EA,0.0,40.0,0.0,0.0,0.0,0.0,40.0,
990,1000347261,護蓋;擺臂;內;ABS/PA757;灰色;;EP591;,EA,0.0,640.0,0.0,0.0,0.0,0.0,640.0,
991,1000347262,護蓋;擺臂;外;ABS/PA757;灰色;;EP591;,EA,0.0,640.0,0.0,0.0,0.0,0.0,640.0,
992,1000347281,軸承組;;;;桿端;;EP591;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
993,1000347284,護蓋;搖臂;內;ABS/PA757;灰色;;EP591;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
994,1000347285,護蓋;搖臂;外;ABS/PA757;灰色;;EP591;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
995,1000347291,連接臂;;φ50.8x2.0Tx1300L;左;;;EP591;,EA,0.0,20.0,0.0,0.0,0.0,0.0,20.0,
